Processo,Vara,Pagina,Arquivo
0006970-79.2026.8.16.0035,Não identificada,1,data\raw\stj_dje_20260720_401_58500221.pdf
5622561-88.2026.8.09.0051,Não identificada,1,data\raw\stj_dje_20260720_401_58524066.pdf
0000535-28.2026.8.27.2737,Não identificada,2,data\raw\stj_dje_20260720_401_58524214.pdf
0000248-65.2026.8.27.2737,Não identificada,2,data\raw\stj_dje_20260720_401_58524214.pdf
5017017-23.2025.8.24.0008,Não identificada,1,data\raw\stj_dje_20260720_401_58524301.pdf
0305035-10.2014.8.24.0008,Não identificada,1,data\raw\stj_dje_20260720_401_58524301.pdf
0000257-22.1991.8.16.0001,20ª Vara Cível,1,data\raw\stj_dje_20260720_401_58527483.pdf
0004572-73.2003.8.16.0001,20ª Vara Cível,1,data\raw\stj_dje_20260720_401_58527483.pdf
0001697-05.2011.5.03.0053,2ª Vara Cível,1,data\raw\stj_dje_20260720_401_58527532.pdf
0022379-22.2026.8.19.0000,Não identificada,1,data\raw\stj_dje_20260720_401_58529143.pdf
2163322-70.2020.8.26.0000,Não identificada,3,data\raw\stj_dje_20260720_401_58529214.pdf
0801099-69.2021.4.05.8500,Não identificada,2,data\raw\stj_dje_20260720_401_58529332.pdf
1038691-78.2022.4.01.3800,4ª Vara Federal,1,data\raw\stj_dje_20260720_401_58529343.pdf
1002780-18.2022.4.06.0000,4ª Vara Federal,1,data\raw\stj_dje_20260720_401_58529343.pdf
0800422-62.2019.8.25.0751,Não identificada,1,data\raw\stj_dje_20260720_401_58529351.pdf
